algo_index,algo_time_spent,total_time_spent,val_score,test_score,best_test_score_so_far
None,0.0,0.005429193671362949,0.0,0.0,0.0
0,0.0,0.016025555786645954,0.0,0.0,0.0
13,0.0,0.03624478368153511,0.0,0.0,0.0
13,0.0,0.07329344942554207,0.0,0.0,0.0
13,7.44,0.1368079732748507,0.1,0.1,0.1
13,21.17,0.23578075308490412,0.13,0.13,0.13
13,46.92,0.3733800876443908,0.15,0.15,0.15
13,96.67,0.544659502606094,0.17,0.17,0.17
13,193.61,0.7400322032504546,0.18,0.18,0.18
13,385.61,0.9502789826513065,0.2,0.2,0.2
13,766.93,1.0,0.22,0.22,0.22
